Season,Year,class_id,Class,Count,Area_Km_sq,Area (%)
Aman,2018,3,Poor (-2 to -1),608774,60.877,8.87
Aman,2018,4,Mild Stress (-1 to 0),1962069,196.207,28.57
Aman,2018,5,Normal (0 to 1),3185804,318.58,46.39
Aman,2018,6,Good (1 to 2),1110145,111.015,16.17
Aman,2019,3,Poor (-2 to -1),1325728,132.573,19.31
Aman,2019,4,Mild Stress (-1 to 0),2221689,222.169,32.35
Aman,2019,5,Normal (0 to 1),2463385,246.339,35.87
Aman,2019,6,Good (1 to 2),855994,85.599,12.47
Aman,2020,3,Poor (-2 to -1),2282103,228.21,33.23
Aman,2020,4,Mild Stress (-1 to 0),1840055,184.006,26.80
Aman,2020,5,Normal (0 to 1),1768430,176.843,25.75
Aman,2020,6,Good (1 to 2),976208,97.621,14.22
Aman,2021,3,Poor (-2 to -1),669874,66.987,9.76
Aman,2021,4,Mild Stress (-1 to 0),2180505,218.051,31.75
Aman,2021,5,Normal (0 to 1),2881545,288.155,41.96
Aman,2021,6,Good (1 to 2),1134874,113.487,16.53
